TAZ,origins_eet,destinations_eet,origins_mc,destinations_mc
256.0,3425,501,3389,547
257.0,62,408,76,463
258.0,2234,1116,2233,1116
259.0,1577,280,1505,284
260.0,1611,687,1560,655
261.0,642,412,597,373
262.0,1420,1295,1433,1265
263.0,130,1556,111,1558
264.0,595,751,606,718
265.0,15,622,19,593
266.0,2840,2793,2849,2760
267.0,259,5128,247,5038
268.0,3915,1023,3929,1122
269.0,61,825,92,900
270.0,843,279,885,277
271.0,584,336,608,338
272.0,1655,495,1678,480
273.0,148,3028,148,3114
274.0,204,201,183,152
275.0,865,241,853,250
276.0,2545,884,2635,968
277.0,857,335,846,297
278.0,382,2247,416,2373
279.0,163,584,146,585
280.0,119,887,125,847
281.0,359,733,345,814
282.0,2047,472,2027,503
283.0,414,93,450,110
284.0,1236,284,1214,270
285.0,114,2057,103,2031
286.0,383,394,395,372
287.0,1129,257,1117,253
288.0,19,477,14,496
289.0,683,1177,680,1223
290.0,1885,508,1925,516
291.0,419,161,432,167
292.0,221,4571,215,4563
293.0,1705,495,1756,517
294.0,331,1486,336,1473
295.0,1034,267,1044,284
296.0,107,1005,102,1014
297.0,2432,549,2399,558
298.0,1905,426,1933,442
299.0,1394,5255,1498,5475
300.0,176,4248,170,4320
301.0,805,172,858,184
302.0,874,198,876,188
303.0,736,392,722,400
304.0,228,1069,246,1049
305.0,1121,431,1148,421
306.0,959,1896,974,1914
307.0,410,150,448,133
308.0,1174,222,1165,203
309.0,146,617,152,674
310.0,437,190,414,151
311.0,401,441,397,429
312.0,1166,356,1066,354
313.0,1437,2699,1441,2751
314.0,1307,377,1332,355
315.0,23,123,22,103
316.0,794,248,833,215
317.0,1004,1433,1040,1439
318.0,2620,704,2563,756
319.0,341,1281,337,1228
320.0,2450,1564,2373,1513
321.0,1177,2726,1173,2652
322.0,4997,1991,5107,2104
323.0,666,1005,704,1078
324.0,90,1572,71,1633
325.0,549,231,516,307
326.0,390,1717,374,1693
327.0,196,1558,211,1606
328.0,261,64,304,89
329.0,344,94,376,75
330.0,324,1707,348,1694
331.0,2479,798,2433,658
332.0,117,1222,111,1206
333.0,1065,378,1059,445
334.0,282,244,285,229
335.0,6,13,5,14
336.0,453,1830,447,1784
337.0,939,653,949,649
338.0,151,626,111,592
339.0,1222,489,1244,455
340.0,389,1975,427,2004
341.0,566,254,525,245
342.0,567,161,582,137
343.0,1288,810,1295,806
344.0,810,212,763,221
345.0,1123,315,1154,303
346.0,1520,3727,1507,3638
347.0,456,251,447,251
348.0,895,640,891,715
349.0,14,107,7,107
350.0,1592,2108,1623,2062
351.0,1906,639,1814,620
352.0,388,1348,373,1285
353.0,2,4,3,6
354.0,844,357,838,393
355.0,832,220,826,264
356.0,609,635,600,654
357.0,1291,422,1346,526
358.0,2251,507,2281,472
359.0,107,1246,119,1191
360.0,395,102,374,105
361.0,404,111,419,111
362.0,394,225,381,199
363.0,1306,685,1278,635
364.0,52,940,57,993
365.0,121,1478,121,1581
366.0,1552,554,1522,533
367.0,843,305,878,317
368.0,738,188,697,172
369.0,204,56,182,45
370.0,471,107,453,113
371.0,728,319,721,339
372.0,1194,698,1166,612
373.0,856,233,823,232
374.0,861,315,904,311
375.0,317,89,300,84
376.0,13,73,19,57
377.0,395,78,405,77
378.0,400,946,433,956
379.0,170,955,150,958
380.0,137,1603,120,1569
381.0,319,95,337,112
382.0,2580,661,2506,632
383.0,978,3575,922,3518
384.0,126,37,147,37
385.0,1233,257,1257,279
386.0,791,1581,803,1525
387.0,5,1627,6,1589
388.0,2771,1017,2682,995
389.0,893,3837,907,3894
390.0,263,235,227,237
391.0,99,357,96,383
392.0,785,1071,755,1017
393.0,226,779,218,778
394.0,788,347,830,387
395.0,184,855,196,882
396.0,1139,761,1176,785
397.0,56,20,60,13
398.0,517,174,568,173
399.0,620,101,636,94
400.0,700,1019,689,1023
401.0,506,106,537,122
402.0,400,1739,381,1738
403.0,325,193,322,186
404.0,593,538,609,561
405.0,174,75,180,81
406.0,380,984,377,980
407.0,90,1141,68,1072
408.0,2448,2289,2340,2422
409.0,805,250,813,244
410.0,77,927,71,905
411.0,41,1398,29,1432
412.0,1812,468,1837,514
413.0,106,893,102,836
414.0,1697,310,1711,316
415.0,37,52,44,50
416.0,30,2409,22,2398
417.0,221,44,187,56
418.0,1403,376,1368,394
419.0,2120,839,2085,919
420.0,241,1251,232,1271
421.0,1185,2179,1166,2262
422.0,771,870,752,861
423.0,494,465,473,473
424.0,856,235,816,250
425.0,1192,6014,1215,5926
426.0,2972,493,3007,490
427.0,184,422,159,428
428.0,1057,281,1080,272
429.0,1576,665,1556,652
430.0,179,1306,175,1234
431.0,619,2124,523,2021
432.0,934,281,970,293
433.0,216,121,219,146
434.0,757,1688,771,1703
435.0,548,349,571,289
436.0,2090,786,2147,796
437.0,1096,3006,1089,3024
438.0,227,58,224,58
439.0,677,271,710,281
440.0,175,944,189,997
441.0,576,148,581,105
442.0,235,1264,267,1248
443.0,88,910,107,900
444.0,80,43,80,46
445.0,57,15,41,17
446.0,1557,747,1448,701
447.0,44,1114,32,1107
448.0,508,1537,519,1472
449.0,955,515,942,525
450.0,846,267,863,319
451.0,2352,896,2435,932
452.0,267,1753,270,1750
453.0,1399,603,1432,552
454.0,952,318,933,322
455.0,386,38,373,46
456.0,768,659,764,644
457.0,307,55,293,52
458.0,1461,461,1491,502
459.0,995,206,1036,199
460.0,816,3122,842,3060
461.0,454,1955,437,1915
462.0,95,1298,116,1287
463.0,2003,595,2007,572
464.0,651,191,655,193
465.0,297,956,316,995
466.0,142,24,151,26
467.0,417,129,460,112
468.0,547,3692,564,3703
469.0,1085,550,1052,577
470.0,436,59,425,72
471.0,1048,238,1095,214
472.0,6,37,2,35
473.0,2507,1060,2422,1025
474.0,1358,1235,1412,1267
475.0,558,144,557,125
476.0,304,627,265,559
477.0,533,750,544,746
478.0,277,70,271,54
479.0,1346,292,1375,302
480.0,1573,419,1608,429
481.0,280,108,277,84
482.0,705,802,715,877
483.0,110,2142,129,2210
484.0,428,109,404,104
485.0,118,979,107,1059
486.0,304,987,308,952
487.0,1532,357,1476,396
488.0,547,372,548,375
489.0,208,93,203,82
490.0,1292,369,1333,347
491.0,1417,316,1460,369
492.0,202,145,185,167
493.0,2234,594,2384,659
494.0,726,567,778,563
495.0,359,435,417,463
496.0,89,377,93,351
497.0,1311,205,1310,211
498.0,824,141,769,142
499.0,264,339,251,369
500.0,152,4245,173,4300
501.0,506,4337,507,4428
502.0,1281,489,1278,484
503.0,66,1458,54,1505
504.0,2423,2448,2420,2301
505.0,737,181,695,164
506.0,1004,815,1004,872
507.0,1687,633,1738,638
508.0,1163,1290,1177,1292
509.0,2572,943,2491,910
510.0,774,233,710,245
511.0,1274,351,1170,375
512.0,3323,877,3393,884
513.0,175,919,180,981
514.0,30,1398,23,1408
515.0,275,413,262,439
516.0,152,633,177,684
517.0,714,212,745,225
518.0,131,1285,150,1352
519.0,310,49,312,46
520.0,81,1209,99,1175
521.0,850,568,799,596
522.0,438,323,438,342
523.0,285,152,266,142
524.0,95,59,112,49
525.0,1794,1144,1773,1087
