TAZ,origins_eet,destinations_eet,origins_mc,destinations_mc
1048.0,1666,4079,1693,4183
1049.0,1104,2339,1115,2315
1050.0,25,342,31,378
1051.0,1009,122,1021,137
1052.0,448,290,443,285
1053.0,651,120,647,114
1054.0,50,769,31,735
1055.0,1272,357,1293,352
1056.0,524,97,561,118
1057.0,238,2118,222,2099
1058.0,506,162,454,209
1059.0,23,545,28,554
1060.0,591,1515,591,1445
1061.0,582,1315,658,1292
1062.0,350,92,371,103
1063.0,273,928,262,1005
1064.0,930,543,882,527
1065.0,775,184,816,195
1066.0,259,77,281,74
1067.0,3751,2614,3762,2600
1068.0,1098,314,1122,352
1069.0,587,396,525,388
1070.0,411,76,403,109
1071.0,1167,277,1166,277
1072.0,500,3332,459,3222
1074.0,406,91,397,75
1075.0,385,70,375,87
1076.0,1279,3204,1314,3046
1077.0,477,912,475,905
1078.0,1454,482,1429,371
1079.0,6,1285,5,1285
1080.0,426,87,431,105
1081.0,498,130,591,125
1082.0,2796,1696,2834,1612
1083.0,293,219,331,252
1084.0,507,68,517,55
1085.0,217,1779,221,1783
1086.0,1843,348,1761,323
1087.0,212,149,190,145
1088.0,862,272,842,253
1089.0,525,145,501,151
1090.0,90,13,77,27
1091.0,275,338,258,308
1092.0,3193,1286,3187,1131
1093.0,1936,399,1941,403
1094.0,619,193,627,214
1095.0,52,28,57,40
1096.0,257,970,255,1003
1097.0,177,124,182,129
1098.0,236,158,250,194
1099.0,644,116,670,111
1100.0,1361,222,1462,256
1101.0,311,41,282,54
1102.0,571,5149,586,5202
1103.0,2218,481,2140,447
1104.0,1888,448,1946,450
1105.0,49,764,49,708
1106.0,1055,1542,1128,1635
1107.0,1508,360,1496,367
1108.0,1496,279,1499,285
1109.0,5731,3272,5758,3167
1110.0,1179,4288,1174,4189
1111.0,825,203,786,216
1112.0,2119,626,2108,606
1113.0,51,567,51,615
1114.0,419,91,387,92
1115.0,670,506,629,509
1116.0,344,184,345,203
1117.0,1481,860,1451,904
1118.0,0,604,0,552
1119.0,1965,1100,1971,1112
1120.0,114,948,109,989
1121.0,2449,669,2412,651
1122.0,2206,635,2207,652
1123.0,290,209,302,222
1124.0,571,231,530,207
1125.0,2313,728,2290,743
1126.0,860,324,852,294
1127.0,2041,306,2093,341
1128.0,206,46,215,44
1129.0,571,67,572,62
1130.0,481,1043,480,999
1131.0,1436,995,1495,988
1132.0,686,1596,727,1596
1133.0,756,647,741,642
1134.0,1238,324,1206,336
1135.0,1051,247,1067,262
1136.0,800,116,769,146
1137.0,1586,610,1570,632
1138.0,414,1533,376,1415
1139.0,1396,3166,1423,3127
1140.0,597,175,585,163
1141.0,1072,956,1123,999
1142.0,2094,853,2160,849
1143.0,234,493,215,513
1144.0,1073,160,1055,146
1145.0,320,82,333,75
1146.0,2863,1393,2916,1405
1147.0,372,111,386,95
1148.0,753,146,800,134
1149.0,2803,578,2708,570
1150.0,333,91,347,65
1151.0,116,41,114,48
1152.0,397,1402,332,1367
1153.0,7,52,5,54
1154.0,25,116,34,114
1155.0,262,187,290,158
1156.0,1348,799,1295,782
1157.0,706,93,695,95
1158.0,496,76,489,83
1159.0,1039,7936,1029,7868
1160.0,516,1742,503,1658
1161.0,1024,232,984,246
1162.0,552,349,563,328
1163.0,9,95,8,91
1164.0,681,1511,680,1481
1165.0,0,263,4,306
1166.0,47,472,49,431
1167.0,536,89,535,91
1168.0,8,199,17,197
1169.0,319,71,349,59
1170.0,737,951,759,1000
1171.0,1471,258,1425,265
1172.0,202,1176,185,1094
1173.0,435,1845,399,1713
1174.0,113,369,110,397
1175.0,3,11,1,15
1176.0,419,334,409,346
1177.0,763,602,797,708
1178.0,650,195,659,219
1179.0,727,163,751,169
1180.0,4233,2751,4255,2701
1181.0,384,77,394,63
1182.0,150,1032,170,1073
1183.0,236,931,227,908
1184.0,720,499,724,449
1185.0,2312,668,2450,653
1186.0,216,1243,221,1273
1187.0,1471,370,1450,422
1188.0,43,218,63,258
1189.0,177,48,178,56
1190.0,9,1952,16,2031
1191.0,27,255,19,240
1192.0,279,83,290,85
1193.0,826,231,814,239
1194.0,428,93,426,85
1195.0,1931,4623,1872,4550
1196.0,4958,4096,4923,3949
1197.0,247,69,291,81
1199.0,129,968,106,997
1200.0,695,195,757,200
1201.0,519,1919,490,1867
1202.0,1186,1120,1215,1114
1203.0,2780,1638,2756,1754
1204.0,2002,1633,1889,1646
1205.0,176,1378,204,1327
1206.0,1110,1911,1114,1849
1207.0,1326,1776,1242,1665
1208.0,1210,803,1237,886
1209.0,502,107,529,119
1210.0,255,1017,266,1036
1211.0,648,1521,657,1508
1212.0,1251,862,1241,863
1213.0,413,124,384,110
1214.0,2225,2792,2306,2701
1215.0,143,45,129,62
1216.0,356,54,321,68
1217.0,980,195,877,194
1218.0,690,698,679,705
1219.0,987,2626,1009,2583
1220.0,560,171,598,181
1221.0,109,1169,128,1230
1222.0,170,6124,150,6020
1223.0,653,2021,655,2062
1224.0,231,40,254,58
1225.0,218,1138,246,1128
1226.0,1030,255,1107,225
1227.0,44,560,56,521
1228.0,32,274,27,309
1229.0,509,590,506,611
1230.0,1196,268,1204,254
1231.0,436,129,423,127
1232.0,3906,575,3959,600
1233.0,140,3932,160,3930
1234.0,696,1474,726,1497
1235.0,429,125,430,93
1236.0,966,811,983,797
1237.0,1426,230,1413,234
1238.0,2635,1426,2702,1450
1239.0,159,50,181,45
1240.0,1806,498,1873,529
1241.0,3508,1053,3558,1000
1242.0,122,21,150,31
1243.0,486,1649,442,1656
1244.0,909,4725,926,4878
1245.0,1281,244,1329,223
1246.0,214,68,229,63
1247.0,395,100,403,143
1248.0,896,414,845,408
1249.0,412,116,419,112
1250.0,0,31,1,29
1251.0,1135,171,1051,174
1252.0,1170,242,1090,237
1253.0,413,188,435,169
1254.0,754,232,757,218
1255.0,513,18309,475,18471
1256.0,1,247,0,230
1257.0,1772,641,1752,634
1258.0,482,2142,441,2127
1259.0,925,231,900,222
1260.0,902,422,905,430
1261.0,154,1230,165,1173
1262.0,6,187,8,203
1263.0,205,61,202,60
1264.0,675,633,691,633
1265.0,462,122,469,123
1266.0,1503,402,1450,400
1267.0,407,97,388,123
1268.0,749,292,749,254
1269.0,24,394,16,369
1270.0,2654,1339,2700,1311
1271.0,170,44,151,39
1272.0,809,129,814,101
1273.0,472,623,477,628
1274.0,1688,699,1633,709
1275.0,1216,193,1175,222
1276.0,1064,198,1083,249
1277.0,286,1883,313,1942
1278.0,3871,4494,3788,4731
1279.0,237,826,205,818
1280.0,242,402,225,394
1281.0,49,1048,60,1088
1282.0,1710,954,1711,1001
1283.0,1088,1803,1085,1836
1284.0,195,619,219,718
1285.0,293,242,289,220
1286.0,766,733,752,828
1287.0,261,1319,245,1310
1288.0,1761,1516,1851,1534
1289.0,228,60,246,68
1290.0,2157,572,2235,564
1291.0,148,432,177,485
1292.0,163,1609,171,1502
1293.0,1810,419,1807,434
1294.0,0,2,1,4
1295.0,776,133,766,128
1296.0,76,2109,78,2087
1297.0,1372,2218,1372,2245
1299.0,1090,1124,1120,1079
1300.0,194,799,147,745
1301.0,1022,2583,1031,2467
1302.0,1696,724,1697,689
1303.0,911,234,965,281
1304.0,1220,412,1249,436
1305.0,54,593,43,651
1306.0,178,41,157,43
1307.0,914,4558,943,4408
1308.0,1737,593,1647,519
1309.0,1218,317,1163,299
1310.0,901,771,938,792
1311.0,1217,2126,1257,2135
1312.0,941,2193,938,2243
1313.0,1052,244,1032,218
1314.0,1070,172,1062,162
1315.0,726,241,723,241
1316.0,920,181,936,215
1317.0,1577,254,1588,278
1318.0,53,36,55,27
1319.0,1202,884,1200,849
1320.0,85,516,93,487
1321.0,321,128,315,122
1322.0,2392,887,2405,900
1323.0,1053,204,1062,243
1324.0,898,247,854,275
1325.0,323,1306,305,1221
1326.0,1485,234,1414,267
1327.0,223,3968,208,3925
1328.0,1605,5814,1560,5761
1329.0,1095,254,1115,255
1331.0,16,101,23,126
1332.0,2093,755,2158,762
1333.0,1205,444,1261,425
1334.0,920,5879,903,5875
1335.0,494,226,513,216
1336.0,154,1317,146,1314
1337.0,13,1490,19,1502
1338.0,46,168,42,166
1339.0,215,2351,227,2218
1340.0,562,119,548,123
1341.0,646,137,687,100
1342.0,281,1691,235,1641
1343.0,4656,1259,4724,1258
1344.0,214,1044,225,1180
1345.0,11,4210,25,4214
1346.0,237,64,246,65
1347.0,944,1443,969,1510
1348.0,70,434,43,374
1349.0,988,339,1036,364
1350.0,1495,1277,1532,1317
1351.0,6420,2635,6510,2655
1352.0,1723,367,1735,390
1353.0,1260,291,1307,244
1354.0,3457,1461,3494,1499
1355.0,677,156,708,138
1356.0,100,1115,112,1125
1357.0,254,1061,243,1093
1358.0,1233,272,1272,290
1359.0,2405,471,2481,509
1360.0,835,3366,912,3455
1361.0,1075,382,1110,398
1362.0,757,186,746,184
1363.0,840,2007,913,1986
1364.0,137,600,131,572
1365.0,52,352,49,343
1366.0,441,1965,428,1923
1368.0,4897,6731,4948,6779
1369.0,613,589,608,597
1370.0,875,1415,905,1412
1371.0,228,292,235,321
1372.0,891,548,917,515
1373.0,131,1596,130,1712
1374.0,2656,1472,2576,1559
1375.0,378,144,375,153
1376.0,72,1227,69,1168
1377.0,260,60,233,77
1378.0,303,57,309,51
1379.0,1020,4643,1058,4697
1380.0,1145,276,1119,272
1381.0,4885,3792,4714,3583
1382.0,1252,365,1260,365
1383.0,637,2431,589,2473
1384.0,574,849,568,806
1385.0,1099,5204,987,4989
1386.0,1720,252,1790,249
1387.0,1421,609,1423,590
1388.0,1494,318,1498,302
1389.0,968,187,983,205
1390.0,1543,513,1499,495
1391.0,154,644,144,650
1392.0,97,2925,91,2849
1393.0,78,457,78,452
1394.0,482,113,456,157
1395.0,1755,3752,1712,3768
1396.0,1228,4643,1169,4522
1397.0,436,1893,448,1867
1398.0,867,1186,869,1227
1399.0,407,120,419,132
1400.0,605,180,588,156
1401.0,528,209,564,200
1402.0,2524,619,2519,647
1403.0,519,6783,537,6863
1404.0,122,505,125,499
1405.0,922,1370,882,1405
1406.0,1010,317,971,419
1407.0,472,220,449,209
1408.0,570,2487,609,2538
1409.0,78,664,80,706
1410.0,638,78,605,73
1411.0,1446,405,1469,429
1412.0,10,7,10,2
1413.0,1618,260,1626,309
1414.0,647,144,657,149
1415.0,1056,351,1037,328
1416.0,34,205,35,221
1417.0,0,86,0,84
1418.0,4390,913,4491,853
1419.0,242,716,247,754
1420.0,1304,933,1307,893
1421.0,122,45,146,55
1422.0,1003,183,1031,167
1423.0,3850,2467,3846,2450
1424.0,1190,179,1182,216
1425.0,1505,2852,1566,2867
1426.0,1058,186,993,200
1427.0,361,112,371,158
1428.0,26,91,15,72
1429.0,2456,6224,2411,6350
1430.0,629,594,648,612
1431.0,790,1477,849,1480
1432.0,107,1092,137,1110
1433.0,933,205,959,189
1434.0,1,46,3,49
1435.0,515,1036,487,1080
1436.0,282,3078,284,3056
1437.0,223,1025,250,1081
1438.0,749,3603,802,3728
1439.0,2759,815,2828,822
1440.0,1349,396,1393,410
1441.0,1739,853,1748,813
1442.0,1762,409,1787,390
1443.0,610,158,623,144
1444.0,637,155,662,185
1445.0,1243,1517,1215,1448
1446.0,1361,775,1341,729
1447.0,2145,3072,2097,3065
1448.0,801,159,781,132
1449.0,508,781,493,840
1450.0,260,1694,253,1777
1451.0,276,984,277,935
1452.0,537,1531,529,1499
1453.0,1155,330,1155,312
1454.0,30,193,34,201
1455.0,848,174,864,227
1456.0,374,84,387,89
1457.0,319,1995,337,1997
1458.0,43,380,35,386
1459.0,1351,5476,1280,5284
1460.0,539,372,525,320
1461.0,1028,669,1093,687
1462.0,2953,1160,2986,1158
1463.0,293,71,305,72
1464.0,168,4351,178,4430
1465.0,2490,379,2424,381
1466.0,1846,556,1807,628
1467.0,976,200,976,231
1468.0,4875,7185,4952,7240
1469.0,1001,1842,968,1760
1470.0,752,139,739,160
1471.0,896,173,878,179
1472.0,137,446,138,461
1473.0,323,3895,369,3908
1474.0,473,1803,462,1739
1475.0,512,105,522,100
1476.0,6,24,8,24
1477.0,1510,493,1501,483
1478.0,691,168,705,171
1479.0,3176,731,3310,743
1480.0,803,191,856,186
1481.0,321,158,304,154
1482.0,1210,196,1219,208
1483.0,15,274,23,275
1484.0,571,119,558,122
1486.0,979,213,975,217
1487.0,522,133,498,132
1488.0,402,104,391,95
1489.0,105,28,98,26
1490.0,219,1703,221,1654
1492.0,547,554,523,588
1493.0,694,3992,712,3913
1494.0,1030,182,1036,166
1495.0,1258,229,1244,294
1496.0,534,128,540,118
1497.0,41,234,55,239
1498.0,2852,817,2848,826
1499.0,546,157,555,126
1500.0,565,768,565,800
1501.0,867,3488,767,3348
1502.0,521,1497,512,1537
1503.0,2943,1861,2907,1877
1504.0,104,880,109,888
1505.0,600,109,605,133
1506.0,1525,323,1535,305
1507.0,3,19,3,20
1508.0,665,145,651,120
1509.0,1932,331,2078,315
1510.0,2621,2110,2635,2070
1511.0,2105,996,2103,994
1512.0,1657,2300,1610,2273
1513.0,1095,1147,1093,1134
1514.0,826,241,812,253
1515.0,280,71,308,88
1516.0,264,1815,239,1828
1517.0,714,2935,738,2973
1518.0,641,141,656,133
1519.0,216,47,239,45
1520.0,103,377,106,374
1521.0,601,76,617,83
1522.0,573,128,561,146
1523.0,1202,638,1174,577
1524.0,590,2745,643,2819
1525.0,841,5986,790,5713
1526.0,866,2578,922,2592
1527.0,1149,346,1115,353
1528.0,500,1550,533,1513
1529.0,691,145,710,143
1530.0,702,92,689,60
1531.0,2113,2545,2272,2470
1532.0,701,1050,708,1061
1533.0,184,768,206,823
1534.0,129,2462,139,2455
1535.0,4683,1507,4651,1524
1536.0,370,1269,347,1208
1537.0,633,84,653,86
1538.0,2553,6216,2453,6201
1539.0,518,791,554,770
1540.0,651,602,617,632
1541.0,7,110,14,129
1542.0,235,81,251,88
1543.0,1261,425,1269,438
1544.0,2155,875,2197,908
1545.0,1768,1052,1729,1066
1546.0,838,256,869,215
1547.0,1043,3267,972,3215
1548.0,1047,292,1054,283
1549.0,1281,314,1230,266
1550.0,445,1861,442,1852
1551.0,1191,289,1285,305
1552.0,301,6161,349,6026
1553.0,259,3008,258,2979
1554.0,323,1950,319,1921
1555.0,467,686,458,675
1556.0,769,201,807,222
1557.0,439,103,433,98
1558.0,1290,670,1270,718
1559.0,1667,463,1655,440
1560.0,2507,1452,2510,1463
1561.0,2633,777,2675,749
1562.0,26,204,37,234
1563.0,1536,311,1577,266
1564.0,73,1045,66,1064
1565.0,842,3509,841,3506
1566.0,926,280,933,294
1567.0,3599,1233,3545,1233
1569.0,1353,1807,1307,1796
1571.0,2025,1434,2015,1394
1572.0,480,438,475,404
1573.0,352,91,371,96
1574.0,482,181,491,171
1575.0,57,30,69,12
1576.0,440,655,455,745
1577.0,4417,3886,4458,3869
1578.0,1333,398,1412,446
1579.0,978,2361,1021,2463
1581.0,26,507,30,473
1582.0,432,161,425,134
1583.0,1578,1088,1608,1139
1584.0,220,641,218,645
1585.0,1745,331,1716,344
1586.0,670,1394,603,1369
1587.0,194,1575,228,1596
1588.0,184,41,163,40
1589.0,429,154,464,161
1590.0,925,5767,1008,5906
1591.0,1284,2560,1265,2451
1592.0,529,308,491,264
1593.0,192,70,194,66
1594.0,800,358,794,403
1595.0,34,367,35,393
1596.0,2843,655,2772,634
1597.0,620,130,645,120
1598.0,239,54,204,58
1599.0,107,545,94,485
1600.0,3792,676,3755,706
1601.0,562,903,512,843
1602.0,131,485,115,451
1603.0,503,94,498,80
1604.0,143,21,149,20
1605.0,0,2,0,3
1606.0,198,1611,188,1485
1607.0,534,112,525,125
1608.0,31,274,32,268
1609.0,1257,251,1230,236
1610.0,228,1254,246,1272
1611.0,40,622,27,520
1612.0,238,25,241,41
1613.0,331,1502,293,1503
1614.0,139,3043,114,3081
1615.0,34,638,30,697
1616.0,343,76,393,103
1617.0,504,271,515,272
1618.0,487,183,486,189
1619.0,364,546,356,523
1620.0,1232,2008,1261,2058
1621.0,359,260,331,238
1622.0,115,26,110,22
1623.0,3761,3568,3764,3412
1624.0,1006,2393,1021,2334
1625.0,501,149,521,159
1626.0,292,151,272,153
1627.0,1195,1249,1150,1274
1628.0,472,138,505,127
1629.0,687,915,714,902
1630.0,1148,439,1173,437
1631.0,375,178,319,164
1632.0,3187,997,3270,1027
1633.0,105,383,106,377
1634.0,337,520,323,471
1635.0,3,32,5,29
1636.0,96,269,74,287
1637.0,522,376,540,379
1638.0,627,226,626,237
1639.0,63,1243,53,1212
1640.0,861,159,845,160
1641.0,64,1347,61,1336
1642.0,293,142,296,139
1643.0,84,420,83,429
1644.0,14,143,14,140
1645.0,1728,518,1691,531
1646.0,246,3036,246,3007
1647.0,104,10,91,13
1648.0,222,81,225,65
1649.0,744,3217,751,3195
1650.0,343,1157,335,1155
1651.0,314,571,300,544
1652.0,330,102,317,121
1653.0,515,190,467,176
1654.0,442,220,406,230
1655.0,286,181,281,177
1656.0,429,410,428,365
1658.0,552,878,558,908
1659.0,970,200,927,186
1660.0,288,127,269,98
1661.0,60,454,63,430
1662.0,1383,2799,1526,2889
1663.0,437,851,441,934
1664.0,114,40,113,38
1665.0,256,93,279,108
1666.0,639,199,671,245
1667.0,807,215,803,220
1668.0,190,401,205,328
1669.0,349,1655,326,1475
1670.0,517,246,530,242
1671.0,23,130,35,139
1672.0,697,1963,680,1992
1673.0,133,351,149,395
1674.0,158,588,151,645
1675.0,854,121,826,151
1676.0,333,573,355,570
1677.0,520,258,528,284
1678.0,927,184,905,193
1679.0,466,870,531,865
1680.0,121,603,105,584
1681.0,339,368,348,350
1682.0,69,843,93,905
1683.0,710,365,689,352
1684.0,738,2459,716,2353
1685.0,188,872,195,790
1686.0,82,591,81,595
1687.0,34,302,43,366
1688.0,613,548,631,582
1689.0,551,277,530,304
1690.0,133,133,148,169
1691.0,287,542,284,536
1692.0,86,422,91,417
1693.0,3,70,9,69
1694.0,164,665,162,618
1695.0,1304,214,1337,222
1696.0,2729,513,2762,535
1697.0,277,135,291,102
1698.0,384,5438,374,5790
1699.0,1561,1320,1541,1370
1700.0,2080,1278,2058,1186
1701.0,145,617,140,595
1702.0,805,270,771,314
1703.0,481,242,488,241
1704.0,611,187,634,169
1705.0,107,22,116,29
1706.0,476,560,453,568
1707.0,241,1258,224,1181
1708.0,73,450,74,440
1709.0,3506,929,3574,981
1710.0,235,1230,207,1186
1711.0,5,20,1,14
1712.0,725,368,794,422
1713.0,36,266,52,280
1714.0,56,183,55,180
1715.0,1232,179,1259,213
1716.0,114,34,107,37
1717.0,514,238,521,270
1718.0,492,87,528,73
1719.0,2518,348,2476,440
1720.0,732,20003,746,20195
1721.0,334,117,326,85
1722.0,211,442,210,425
1723.0,175,61,173,57
1725.0,855,260,885,256
1726.0,30,169,37,206
1727.0,95,501,104,525
1728.0,3,15,3,25
1729.0,7,111,8,101
1730.0,6,20,4,18
1731.0,380,1004,372,961
1732.0,527,222,538,229
1733.0,2,609,4,643
1734.0,32,257,28,276
1735.0,5853,5785,5873,5707
1736.0,3515,985,3450,1002
1737.0,691,189,721,185
1738.0,0,2,0,8
1739.0,289,2309,270,2385
1740.0,296,628,311,606
1741.0,312,132,306,126
1742.0,431,2576,422,2565
1743.0,108,559,96,550
1744.0,87,513,99,497
1745.0,729,225,701,236
1746.0,974,1730,932,1669
1747.0,34,123,27,133
1748.0,52,218,47,231
1749.0,6,63,13,62
1750.0,307,259,316,260
1751.0,4134,4291,4087,4412
1752.0,23,38,24,24
1753.0,1,4,0,4
1754.0,388,214,401,234
1755.0,83,107,73,128
1756.0,138,2153,161,2103
1757.0,670,690,604,704
1758.0,204,119,196,95
1759.0,225,1250,249,1258
1760.0,287,212,303,224
1761.0,450,612,449,579
1762.0,963,238,981,272
1763.0,356,139,361,162
1764.0,354,134,339,122
1765.0,76,565,68,578
1766.0,1417,6686,1472,6845
1768.0,1013,233,1002,325
1769.0,342,248,355,247
1770.0,839,1533,857,1547
1771.0,104,598,135,611
1772.0,435,683,453,675
1773.0,258,1441,250,1464
1774.0,13,275,8,255
1775.0,985,954,1017,948
1776.0,235,1119,206,1143
1777.0,140,1120,182,1148
1778.0,176,91,179,108
1779.0,618,490,592,459
1780.0,836,191,862,212
1781.0,633,275,643,260
1782.0,3354,811,3459,868
1783.0,314,3788,293,3797
1784.0,99,667,109,690
1785.0,312,483,311,506
1786.0,720,126,745,130
1787.0,1069,585,1059,545
1788.0,764,169,762,157
1789.0,1439,1085,1402,1144
1790.0,3084,610,3168,606
1791.0,60,240,67,306
1792.0,8,104,7,125
1793.0,2870,821,2951,897
1794.0,611,126,633,120
1795.0,305,2280,281,2364
1796.0,6,52,7,51
1797.0,202,550,191,472
1798.0,914,4969,881,4840
1799.0,345,1047,381,1084
1800.0,137,882,147,750
1801.0,1186,7002,1166,7030
1802.0,561,84,582,115
1803.0,83,788,69,730
1804.0,606,299,607,271
1805.0,349,272,364,276
1806.0,820,1339,819,1429
1807.0,820,685,859,688
1808.0,894,803,821,793
1809.0,1,11,1,11
1810.0,196,32,173,34
1811.0,429,340,413,338
1812.0,524,264,514,257
1813.0,317,631,348,671
1814.0,149,1677,172,1668
1815.0,580,1466,506,1512
1816.0,326,198,304,184
1817.0,266,323,258,301
1818.0,288,2253,302,2282
1819.0,749,2029,740,2062
1820.0,286,186,248,207
1821.0,531,301,529,297
1822.0,1585,635,1637,595
1823.0,661,244,631,232
1824.0,2421,2734,2460,2744
1825.0,181,167,201,178
1826.0,523,377,504,366
1828.0,3,43,7,49
1829.0,28,152,18,151
1830.0,711,667,705,656
1831.0,737,1841,704,1758
1832.0,1076,1789,1070,1693
1833.0,600,2363,583,2268
1834.0,634,1541,639,1597
1835.0,710,1095,703,1128
1836.0,546,579,536,573
1837.0,1389,1957,1393,1927
1838.0,579,839,586,841
1839.0,617,2221,634,2300
1840.0,526,2629,564,2719
1841.0,361,779,324,760
1842.0,378,722,371,707
1843.0,71,1491,70,1509
1844.0,193,850,198,873
1845.0,200,1111,208,1114
1846.0,74,835,89,906
1847.0,412,814,376,744
1848.0,408,2121,401,2185
1849.0,70,367,60,419
1850.0,123,601,134,661
1851.0,211,65,216,74
1852.0,499,257,509,239
1853.0,701,1194,711,1195
1854.0,896,942,910,966
1855.0,941,195,882,216
1856.0,642,874,719,859
1857.0,579,575,559,528
1858.0,211,951,235,982
1859.0,1359,3263,1393,3365
1860.0,169,1387,165,1393
1861.0,278,2612,299,2612
1862.0,308,410,297,417
1863.0,935,1017,986,965
1864.0,627,1349,646,1381
1865.0,1435,464,1464,472
1866.0,1025,294,1059,309
1867.0,77,801,64,782
1868.0,49,234,43,255
1869.0,78,684,80,679
1870.0,64,1474,73,1463
1871.0,144,1275,132,1244
1872.0,79,710,91,736
1873.0,270,2700,257,2618
1874.0,223,1230,232,1334
1875.0,203,969,181,879
1876.0,244,196,273,203
1877.0,3,9,2,11
1878.0,183,360,144,363
1879.0,574,2918,648,2936
1880.0,1604,669,1572,708
1882.0,29,362,32,451
1883.0,406,2603,377,2427
1884.0,2468,3048,2514,2961
1885.0,311,161,311,155
1886.0,48,11,49,12
1887.0,55,1017,37,970
1888.0,283,1601,248,1615
1889.0,444,3235,436,3232
1890.0,431,92,452,91
1891.0,75,195,75,181
1892.0,183,1128,205,1164
1893.0,2,54,6,51
1894.0,174,227,177,256
1895.0,170,309,163,279
1896.0,25,321,19,335
1897.0,461,871,469,907
1898.0,623,504,610,499
1899.0,203,755,199,741
1900.0,432,1761,402,1648
1901.0,318,1516,282,1440
1902.0,396,4069,344,4158
1903.0,240,162,232,129
1904.0,694,2647,688,2696
1905.0,182,661,186,698
1906.0,5015,1331,5121,1334
1907.0,212,1159,175,1086
1908.0,16,156,28,173
1909.0,27,9,28,9
1910.0,342,54,352,57
1911.0,609,119,590,109
1912.0,950,3110,921,3150
1913.0,3417,707,3465,702
1914.0,1861,1214,1806,1220
1915.0,3331,1232,3404,1334
1916.0,327,544,312,518
1917.0,2345,534,2412,493
1918.0,181,80,176,93
1919.0,328,205,350,192
1920.0,21,71,25,71
1921.0,2,37,5,56
1922.0,64,16,64,27
1923.0,52,280,56,311
1924.0,1508,620,1458,562
1925.0,1179,661,1211,677
1926.0,389,1758,374,1715
1927.0,426,2969,438,2928
1928.0,40,15,61,10
1929.0,79,334,66,296
1930.0,699,236,689,162
1931.0,846,232,885,248
1932.0,1439,3255,1461,3271
1933.0,4,354,1,369
1934.0,347,63,349,66
1935.0,3,102,1,90
1936.0,1141,610,1162,577
1937.0,76,206,69,177
1938.0,82,639,69,648
1939.0,313,424,321,394
1940.0,14,88,16,103
1941.0,363,367,345,344
1942.0,88,32,88,31
1943.0,207,286,214,282
1944.0,169,147,157,138
1946.0,817,350,854,363
1947.0,195,80,191,70
1948.0,831,187,903,164
1949.0,384,325,403,338
1950.0,1627,718,1572,614
1951.0,1125,6499,1089,6491
1952.0,55,382,39,413
1953.0,401,3370,369,3316
1954.0,679,993,657,1032
1955.0,3166,1854,3102,1903
1956.0,667,2146,644,2223
1957.0,687,334,630,351
1958.0,536,1008,560,971
1959.0,2477,611,2481,639
1960.0,1040,229,1044,252
1961.0,286,1202,284,1224
1962.0,764,352,758,372
1963.0,30,624,40,631
1964.0,206,349,189,324
1965.0,319,245,353,216
1966.0,191,168,195,175
1967.0,477,285,480,323
1968.0,261,227,219,246
1969.0,51,232,50,270
1970.0,1048,656,1118,674
1971.0,2037,349,2071,377
1972.0,262,147,267,132
1973.0,465,234,439,212
1974.0,71,758,61,707
1975.0,1511,735,1569,870
1976.0,154,3851,156,3873
1977.0,382,648,384,618
1978.0,108,79,123,110
1979.0,442,292,450,311
1980.0,31,907,26,892
1981.0,81,97,99,115
1982.0,324,216,353,191
1983.0,9,74,11,68
1984.0,187,97,200,100
1985.0,449,292,431,305
1986.0,848,540,841,533
1987.0,622,168,574,155
1988.0,208,1365,209,1382
1989.0,604,4145,585,4087
1990.0,186,1320,182,1413
1991.0,110,1633,112,1708
1992.0,124,642,113,614
1993.0,79,1574,96,1604
1994.0,555,2916,583,2938
1995.0,154,1780,142,1692
1996.0,1202,578,1258,650
1997.0,336,1382,367,1366
1998.0,1601,432,1677,474
1999.0,539,97,532,115
2000.0,1273,260,1297,259
2001.0,52,26,42,19
2002.0,274,178,306,218
2003.0,144,82,151,61
2004.0,685,330,696,320
2005.0,42,766,54,781
2006.0,176,210,154,203
2007.0,855,409,828,447
2008.0,469,403,446,393
2009.0,42,83,48,115
2010.0,14,143,11,147
2011.0,3,2218,0,2171
2012.0,191,122,202,109
2013.0,1801,1465,1795,1361
2014.0,966,180,982,183
2015.0,140,834,157,881
2016.0,2336,1876,2249,1890
2017.0,24,190,23,166
2018.0,353,205,392,197
2019.0,557,300,566,326
2020.0,259,254,250,234
2021.0,527,426,527,416
2022.0,329,191,350,199
2024.0,112,5,123,4
2025.0,58,23,62,20
2026.0,146,1198,163,1166
2027.0,795,5163,814,5186
2028.0,495,154,557,143
2029.0,810,3309,773,3224
2031.0,2409,875,2485,880
2032.0,1420,3710,1447,3825
2033.0,58,13,55,13
2035.0,494,292,519,302
2036.0,64,1072,84,1130
2037.0,449,231,444,261
2039.0,324,233,336,194
2040.0,84,26,88,22
2041.0,586,288,613,326
2042.0,861,225,794,205
2043.0,873,1304,857,1268
2044.0,227,1402,212,1337
2045.0,1668,11499,1640,11432
2046.0,1649,310,1575,275
2047.0,169,3868,162,4006
2048.0,2676,810,2638,751
2050.0,1288,362,1363,399
2051.0,285,3582,303,3520
2052.0,51,160,43,156
2053.0,40,382,41,387
2054.0,2343,846,2298,870
2055.0,267,1304,236,1254
2056.0,689,293,704,259
2057.0,943,1282,932,1199
2058.0,487,326,499,353
2059.0,643,201,671,180
